pdf_filename,file_id,district,state,stage,doc_date,drive_url,error
20260512_AZ_TUCSON_UNIFIED_DISTRICT_19Q54Wxr.pdf,19Q54WxrnbE-wFM2Um57xINR9fOL5Lmaq,TUCSON UNIFIED DISTRICT (4403),AZ,Active Evaluation,2026-05-12,https://drive.google.com/file/d/19Q54WxrnbE-wFM2Um57xINR9fOL5Lmaq/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=19Q54WxrnbE-wFM2Um57xINR9fOL5Lmaq

but Gdown can't. Please check connections and permissions."
20260507_KS_OLATHE_1RZQM8Mi.pdf,1RZQM8Miiag5Qfe-i55FtNF24Xq0Vzs1l,OLATHE,KS,Preliminary Consideration,2026-05-07,https://drive.google.com/file/d/1RZQM8Miiag5Qfe-i55FtNF24Xq0Vzs1l/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1RZQM8Miiag5Qfe-i55FtNF24Xq0Vzs1l

but Gdown can't. Please check connections and permissions."
20260514_CO_LITTLETON_SCHOOL_DISTRICT_NO_6_IN_THE_COUNTY_OF_ARAPAHOE_13zRrrsC.pdf,13zRrrsC4KEo4hkWYGkpJ-3P9bV_GczLB,LITTLETON SCHOOL DISTRICT NO. 6 IN THE COUNTY OF ARAPAHOE,CO,Active Evaluation,2026-05-14,https://drive.google.com/file/d/13zRrrsC4KEo4hkWYGkpJ-3P9bV_GczLB/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=13zRrrsC4KEo4hkWYGkpJ-3P9bV_GczLB

but Gdown can't. Please check connections and permissions."
20260507_NH_KEARSARGE_REGIONAL_SCHOOL_DISTRICT_133c9510.pdf,133c9510YGZx7O70Oy8yvW2CT6yXjgTD1,KEARSARGE REGIONAL SCHOOL DISTRICT,NH,Active Evaluation,2026-05-07,https://drive.google.com/file/d/133c9510YGZx7O70Oy8yvW2CT6yXjgTD1/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=133c9510YGZx7O70Oy8yvW2CT6yXjgTD1

but Gdown can't. Please check connections and permissions."
20260414_NY_GARDEN_CITY_UNION_FREE_SCHOOL_DISTRICT_1uIQ50Zw.pdf,1uIQ50ZwHl7nl88FkoTiN147_MLFoc7AR,GARDEN CITY UNION FREE SCHOOL DISTRICT,NY,Preliminary Consideration,2026-04-14,https://drive.google.com/file/d/1uIQ50ZwHl7nl88FkoTiN147_MLFoc7AR/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1uIQ50ZwHl7nl88FkoTiN147_MLFoc7AR

but Gdown can't. Please check connections and permissions."
20260414_CA_SANTA_MARIA_JOINT_UNION_HIGH_1fBGN8Au.pdf,1fBGN8AuqIBZWPmh5p5v5Tndj5v4r0hMA,SANTA MARIA JOINT UNION HIGH,CA,Active Evaluation,2026-04-14,https://drive.google.com/file/d/1fBGN8AuqIBZWPmh5p5v5Tndj5v4r0hMA/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1fBGN8AuqIBZWPmh5p5v5Tndj5v4r0hMA

but Gdown can't. Please check connections and permissions."
20260408_PA_COMMONWEALTH_CHARTER_ACADEMY_CS_1oAVUl6b.pdf,1oAVUl6boDelQgJWqU2Yd4Xjm1SbNj5GB,COMMONWEALTH CHARTER ACADEMY CS,PA,Active Evaluation,2026-04-08,https://drive.google.com/file/d/1oAVUl6boDelQgJWqU2Yd4Xjm1SbNj5GB/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1oAVUl6boDelQgJWqU2Yd4Xjm1SbNj5GB

but Gdown can't. Please check connections and permissions."
20260507_IL_SCHAUMBURG_CCSD_54_1hT4PeVj.pdf,1hT4PeVjF-AD3aNWHTlRYzT68TepEBj75,SCHAUMBURG CCSD 54,IL,Active Evaluation,2026-05-07,https://drive.google.com/file/d/1hT4PeVjF-AD3aNWHTlRYzT68TepEBj75/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1hT4PeVjF-AD3aNWHTlRYzT68TepEBj75

but Gdown can't. Please check connections and permissions."
20260511_OH_BEACHWOOD_CITY_1ZYmZHIR.pdf,1ZYmZHIRfsWGnf0mpVP5nR1bLkVLVmsAb,BEACHWOOD CITY,OH,Active Evaluation,2026-05-11,https://drive.google.com/file/d/1ZYmZHIRfsWGnf0mpVP5nR1bLkVLVmsAb/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1ZYmZHIRfsWGnf0mpVP5nR1bLkVLVmsAb

but Gdown can't. Please check connections and permissions."
20260427_PA_UPPER_DUBLIN_SD_1KvQHd82.pdf,1KvQHd82QPn1RTwm_bafLy9JhLQynCOez,UPPER DUBLIN SD,PA,Active Evaluation,2026-04-27,https://drive.google.com/file/d/1KvQHd82QPn1RTwm_bafLy9JhLQynCOez/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1KvQHd82QPn1RTwm_bafLy9JhLQynCOez

but Gdown can't. Please check connections and permissions."
20260413_MI_DEARBORN_CITY_SCHOOL_DISTRICT_1uD3pCGT.pdf,1uD3pCGT11ADQ3iQjyMxuDXimprUXsWXB,DEARBORN CITY SCHOOL DISTRICT,MI,Active Evaluation,2026-04-13,https://drive.google.com/file/d/1uD3pCGT11ADQ3iQjyMxuDXimprUXsWXB/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1uD3pCGT11ADQ3iQjyMxuDXimprUXsWXB

but Gdown can't. Please check connections and permissions."
20260408_PA_UPPER_DUBLIN_SD_1sAJHa64.pdf,1sAJHa64xu2DSeIVl36htR22I2Icdt0DN,UPPER DUBLIN SD,PA,Active Evaluation,2026-04-08,https://drive.google.com/file/d/1sAJHa64xu2DSeIVl36htR22I2Icdt0DN/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1sAJHa64xu2DSeIVl36htR22I2Icdt0DN

but Gdown can't. Please check connections and permissions."
20260423_CA_CASTAIC_UNION_18FicCdT.pdf,18FicCdTv9jZUcq9Z2XCDJQnE2eV0SgIu,CASTAIC UNION,CA,Preliminary Consideration,2026-04-23,https://drive.google.com/file/d/18FicCdTv9jZUcq9Z2XCDJQnE2eV0SgIu/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=18FicCdTv9jZUcq9Z2XCDJQnE2eV0SgIu

but Gdown can't. Please check connections and permissions."
20260520_CA_CONEJO_VALLEY_UNIFIED_1QbJ87m2.pdf,1QbJ87m2i6zF5adYOcqvwOe2jkSg9jkCP,CONEJO VALLEY UNIFIED,CA,Active Evaluation,2026-05-20,https://drive.google.com/file/d/1QbJ87m2i6zF5adYOcqvwOe2jkSg9jkCP/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1QbJ87m2i6zF5adYOcqvwOe2jkSg9jkCP

but Gdown can't. Please check connections and permissions."
20260413_VA_MANASSAS_PARK_CITY_PUBLIC_SCHOOLS_1zvGuIah.pdf,1zvGuIahpfb9UsLUNmsUFebS_g21hoJrW,MANASSAS PARK CITY PUBLIC SCHOOLS,VA,Active Evaluation,2026-04-13,https://drive.google.com/file/d/1zvGuIahpfb9UsLUNmsUFebS_g21hoJrW/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1zvGuIahpfb9UsLUNmsUFebS_g21hoJrW

but Gdown can't. Please check connections and permissions."
20260421_MN_SAINT_PAUL_PUBLIC_SCHOOLS_1lUKmu7e.pdf,1lUKmu7eKinX5KMaAjsaYz-lbtRj2Fq4Z,SAINT PAUL PUBLIC SCHOOLS,MN,Preliminary Consideration,2026-04-21,https://drive.google.com/file/d/1lUKmu7eKinX5KMaAjsaYz-lbtRj2Fq4Z/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1lUKmu7eKinX5KMaAjsaYz-lbtRj2Fq4Z

but Gdown can't. Please check connections and permissions."
20260512_AZ_TUCSON_UNIFIED_DISTRICT_1qWluXAD.pdf,1qWluXADmL28FFbq54eSBtfZG_1zgwo8M,TUCSON UNIFIED DISTRICT (4403),AZ,Active Evaluation,2026-05-12,https://drive.google.com/file/d/1qWluXADmL28FFbq54eSBtfZG_1zgwo8M/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1qWluXADmL28FFbq54eSBtfZG_1zgwo8M

but Gdown can't. Please check connections and permissions."
20260505_GA_FORSYTH_COUNTY_1lYqmYz2.pdf,1lYqmYz29GwzygrRHMLPxyGAXQx00Kya4,FORSYTH COUNTY,GA,Preliminary Consideration,2026-05-05,https://drive.google.com/file/d/1lYqmYz29GwzygrRHMLPxyGAXQx00Kya4/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1lYqmYz29GwzygrRHMLPxyGAXQx00Kya4

but Gdown can't. Please check connections and permissions."
20260512_CO_POUDRE_SCHOOL_DISTRICT_R_1_1JCPXBA8.pdf,1JCPXBA8Gb_Ss46MnZrDFrU20n3PA1uK-,POUDRE SCHOOL DISTRICT R-1,CO,Preliminary Consideration,2026-05-12,https://drive.google.com/file/d/1JCPXBA8Gb_Ss46MnZrDFrU20n3PA1uK-/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1JCPXBA8Gb_Ss46MnZrDFrU20n3PA1uK-

but Gdown can't. Please check connections and permissions."
20260507_IL_SCHAUMBURG_CCSD_54_1d2x9P5O.pdf,1d2x9P5O6lF4rXqiMBSSVbfX7lDPRPOCi,SCHAUMBURG CCSD 54,IL,Active Evaluation,2026-05-07,https://drive.google.com/file/d/1d2x9P5O6lF4rXqiMBSSVbfX7lDPRPOCi/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1d2x9P5O6lF4rXqiMBSSVbfX7lDPRPOCi

but Gdown can't. Please check connections and permissions."
20260514_CO_ACADEMY_SCHOOL_DISTRICT_NO_20_IN_THE_COUNTY_OF_EL_PASO_AN_1cNgKojk.pdf,1cNgKojkdiG6ushHHB7-ZjoJP6clKeAKF,ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,CO,Preliminary Consideration,2026-05-14,https://drive.google.com/file/d/1cNgKojkdiG6ushHHB7-ZjoJP6clKeAKF/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1cNgKojkdiG6ushHHB7-ZjoJP6clKeAKF

but Gdown can't. Please check connections and permissions."
20260511_AZ_DYSART_UNIFIED_DISTRICT_1yVMtgj5.pdf,1yVMtgj50ojKEzfCsJslVgV4c0h4OhcXZ,DYSART UNIFIED DISTRICT (4243),AZ,Active Evaluation,2026-05-11,https://drive.google.com/file/d/1yVMtgj50ojKEzfCsJslVgV4c0h4OhcXZ/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1yVMtgj50ojKEzfCsJslVgV4c0h4OhcXZ

but Gdown can't. Please check connections and permissions."
20260414_NY_DOBBS_FERRY_UNION_FREE_SCHOOL_DISTRICT_1j3EbjHF.pdf,1j3EbjHFpWb58B4BmhGEmrPGP0qAMfDpi,DOBBS FERRY UNION FREE SCHOOL DISTRICT,NY,Preliminary Consideration,2026-04-14,https://drive.google.com/file/d/1j3EbjHFpWb58B4BmhGEmrPGP0qAMfDpi/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1j3EbjHFpWb58B4BmhGEmrPGP0qAMfDpi

but Gdown can't. Please check connections and permissions."
20260507_IL_HINSDALE_CCSD_181_1Py5n2el.pdf,1Py5n2elu7Y5M4Z7BkmCK7KzrHLQanyvn,HINSDALE CCSD 181,IL,Active Evaluation,2026-05-07,https://drive.google.com/file/d/1Py5n2elu7Y5M4Z7BkmCK7KzrHLQanyvn/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1Py5n2elu7Y5M4Z7BkmCK7KzrHLQanyvn

but Gdown can't. Please check connections and permissions."
20260427_IL_GLENBARD_TWP_HSD_87_1jo1Y-z9.pdf,1jo1Y-z9-ajZtfQzs3tDEBzifp1jdg5KE,GLENBARD TWP HSD 87,IL,Preliminary Consideration,2026-04-27,https://drive.google.com/file/d/1jo1Y-z9-ajZtfQzs3tDEBzifp1jdg5KE/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1jo1Y-z9-ajZtfQzs3tDEBzifp1jdg5KE

but Gdown can't. Please check connections and permissions."
20260511_IA_MUSCATINE_COMM_SCHOOL_DISTRICT_1PPm73yp.pdf,1PPm73yp3z7RM9KBpR6PG6aZ7kvOJX8bS,MUSCATINE COMM SCHOOL DISTRICT,IA,Active Evaluation,2026-05-11,https://drive.google.com/file/d/1PPm73yp3z7RM9KBpR6PG6aZ7kvOJX8bS/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1PPm73yp3z7RM9KBpR6PG6aZ7kvOJX8bS

but Gdown can't. Please check connections and permissions."
20260421_CA_STOCKTON_UNIFIED_1eu43xoN.pdf,1eu43xoNpj2C5mv2yJMW4yzHHkpDWtEOW,STOCKTON UNIFIED,CA,Active Evaluation,2026-04-21,https://drive.google.com/file/d/1eu43xoNpj2C5mv2yJMW4yzHHkpDWtEOW/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1eu43xoNpj2C5mv2yJMW4yzHHkpDWtEOW

but Gdown can't. Please check connections and permissions."
20260504_NY_NORTH_SYRACUSE_CENTRAL_SCHOOL_DISTRICT_1DhinzTc.pdf,1DhinzTcmyLtkILCd5QxC5PgMdj2jJdHy,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,NY,Active Evaluation,2026-05-04,https://drive.google.com/file/d/1DhinzTcmyLtkILCd5QxC5PgMdj2jJdHy/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1DhinzTcmyLtkILCd5QxC5PgMdj2jJdHy

but Gdown can't. Please check connections and permissions."
20260511_AZ_DYSART_UNIFIED_DISTRICT_14r9AyGM.pdf,14r9AyGMLz6EWbPhFg8OEniKHxyrrB1BJ,DYSART UNIFIED DISTRICT (4243),AZ,Preliminary Consideration,2026-05-11,https://drive.google.com/file/d/14r9AyGMLz6EWbPhFg8OEniKHxyrrB1BJ/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=14r9AyGMLz6EWbPhFg8OEniKHxyrrB1BJ

but Gdown can't. Please check connections and permissions."
20260427_WY_NATRONA_COUNTY_SCHOOL_DISTRICT_1_195J86dI.pdf,195J86dIA9ls5vmyhxflMFqk2RCcs4p90,NATRONA COUNTY SCHOOL DISTRICT #1,WY,Preliminary Consideration,2026-04-27,https://drive.google.com/file/d/195J86dIA9ls5vmyhxflMFqk2RCcs4p90/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=195J86dIA9ls5vmyhxflMFqk2RCcs4p90

but Gdown can't. Please check connections and permissions."
20260504_PA_PENNRIDGE_SD_1Er_C_b4.pdf,1Er_C_b4e4NdIJIzrgzS1rHots3x23wOc,PENNRIDGE SD,PA,Active Evaluation,2026-05-04,https://drive.google.com/file/d/1Er_C_b4e4NdIJIzrgzS1rHots3x23wOc/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1Er_C_b4e4NdIJIzrgzS1rHots3x23wOc

but Gdown can't. Please check connections and permissions."
20260512_IL_OAK_PARK_ESD_97_1z8F-nsH.pdf,1z8F-nsHAjEJeObb75idR4OH4sgS271w7,OAK PARK ESD 97,IL,Preliminary Consideration,2026-05-12,https://drive.google.com/file/d/1z8F-nsHAjEJeObb75idR4OH4sgS271w7/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1z8F-nsHAjEJeObb75idR4OH4sgS271w7

but Gdown can't. Please check connections and permissions."
20260414_PA_ATHENS_AREA_SD_1LlYpb0O.pdf,1LlYpb0OPR0sBc2_jXO0RMsrqo2OXzUC-,ATHENS AREA SD,PA,Preliminary Consideration,2026-04-14,https://drive.google.com/file/d/1LlYpb0OPR0sBc2_jXO0RMsrqo2OXzUC-/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1LlYpb0OPR0sBc2_jXO0RMsrqo2OXzUC-

but Gdown can't. Please check connections and permissions."
20260409_IL_BRADLEY_BOURBONNAIS_CHSD_307_15kl2eJ9.pdf,15kl2eJ9IIPaxM1ZETZfFDZC-zapDGMe1,BRADLEY BOURBONNAIS CHSD 307,IL,Active Evaluation,2026-04-09,https://drive.google.com/file/d/15kl2eJ9IIPaxM1ZETZfFDZC-zapDGMe1/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=15kl2eJ9IIPaxM1ZETZfFDZC-zapDGMe1

but Gdown can't. Please check connections and permissions."
20260421_CA_LOS_ANGELES_UNIFIED_1AhJI48_.pdf,1AhJI48_mOm32AcOLvc-8y0HXdVKSrF46,LOS ANGELES UNIFIED,CA,Active Evaluation,2026-04-21,https://drive.google.com/file/d/1AhJI48_mOm32AcOLvc-8y0HXdVKSrF46/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1AhJI48_mOm32AcOLvc-8y0HXdVKSrF46

but Gdown can't. Please check connections and permissions."
20260416_IL_SCHAUMBURG_CCSD_54_1Ga7wZWA.pdf,1Ga7wZWAXBXXDsyYxMhT0ldXL6jYLnyYi,SCHAUMBURG CCSD 54,IL,Active Evaluation,2026-04-16,https://drive.google.com/file/d/1Ga7wZWAXBXXDsyYxMhT0ldXL6jYLnyYi/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1Ga7wZWAXBXXDsyYxMhT0ldXL6jYLnyYi

but Gdown can't. Please check connections and permissions."
20260512_AZ_TUCSON_UNIFIED_DISTRICT_1vl0xGsY.pdf,1vl0xGsYFMtXyJ_9sogeYL9urKmxNaoi6,TUCSON UNIFIED DISTRICT (4403),AZ,Active Evaluation,2026-05-12,https://drive.google.com/file/d/1vl0xGsYFMtXyJ_9sogeYL9urKmxNaoi6/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1vl0xGsYFMtXyJ_9sogeYL9urKmxNaoi6

but Gdown can't. Please check connections and permissions."
20260507_NY_MINISINK_VALLEY_CENTRAL_SCHOOL_DISTRICT_1pBKgJFj.pdf,1pBKgJFjZr_Z9ecOnebod5XotmLloqcXn,MINISINK VALLEY CENTRAL SCHOOL DISTRICT,NY,Active Evaluation,2026-05-07,https://drive.google.com/file/d/1pBKgJFjZr_Z9ecOnebod5XotmLloqcXn/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1pBKgJFjZr_Z9ecOnebod5XotmLloqcXn

but Gdown can't. Please check connections and permissions."
20260421_UT_IRON_DISTRICT_1F2qL8Ug.pdf,1F2qL8UgNOeqbv5aj_PGw764J02AfVzBS,IRON DISTRICT,UT,Active Evaluation,2026-04-21,https://drive.google.com/file/d/1F2qL8UgNOeqbv5aj_PGw764J02AfVzBS/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1F2qL8UgNOeqbv5aj_PGw764J02AfVzBS

but Gdown can't. Please check connections and permissions."
20260421_OH_CRESTWOOD_LOCAL_1gB-pPGG.pdf,1gB-pPGGKs2olHbKFWrtlconrRfeaQLQ3,CRESTWOOD LOCAL,OH,Active Evaluation,2026-04-21,https://drive.google.com/file/d/1gB-pPGGKs2olHbKFWrtlconrRfeaQLQ3/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=1gB-pPGGKs2olHbKFWrtlconrRfeaQLQ3

but Gdown can't. Please check connections and permissions."
20260421_CA_WEST_COVINA_UNIFIED_155iofaV.pdf,155iofaVNLnVuDSXMH781HFwcH93ZxOys,WEST COVINA UNIFIED,CA,Preliminary Consideration,2026-04-21,https://drive.google.com/file/d/155iofaVNLnVuDSXMH781HFwcH93ZxOys/view,"Failed to retrieve file url:

	Only the owner and editors can download this file. If you'd like to
	download it, please contact the owner.

You may still be able to access the file from the browser:

	https://drive.google.com/uc?id=155iofaVNLnVuDSXMH781HFwcH93ZxOys

but Gdown can't. Please check connections and permissions."
